ID	mu_sentence	mu_verb_phrase	mu_noun_phrase	sd_sentence	sd_verb_phrase	sd_noun_phrase	iqr_sentence	iqr_verb_phrase	iqr_noun_phrase	num_verb_phrase	label
gossipcop-1000240645	17.4	9.555555555555555	4.641025641025641	5.0039984012787215	5.262257882762053	4.196990249355923	7	8.25	0.5	36	fake
gossipcop-1009248558	13.548387096774194	8.045801526717558	4.12	4.233801842753682	4.088454411150837	2.247724775560092	7	5	1	131	fake
gossipcop-1012123555	11.5625	7.147058823529412	3.8333333333333335	3.2971341722774947	2.9168108384206244	1.8738831096140263	5.5	4	1	68	fake
gossipcop-1014616559	12.449056603773585	7.788321167883212	4.0333965844402275	3.9043093096571204	3.617825927139486	2.300322648812789	5	5	1	959	fake
gossipcop-1014636162	7.833333333333333	5.714285714285714	3.4918032786885247	3.0046260628866577	2.602981022612657	1.3259447707469634	4.75	3	0	35	fake
gossipcop-1020220396	13	7.869565217391305	4	2.886751345948129	3.5300492400320764	2.252370025485892	3.25	4.5	0	23	fake
gossipcop-1023576750	12.471428571428572	8.393574297188755	4.1239316239316235	5.072957516004216	4.17461717883945	2.86327018743689	6	6	1	249	fake
gossipcop-1023869303	10.954545454545455	6.9855072463768115	3.9754098360655736	4.616937914081078	3.118401456075186	2.647185683919652	5	4	1	69	fake
gossipcop-1026488145	11.23076923076923	7.54054054054054	3.727272727272727	3.7035086514494533	3.2515658979785425	1.7627926754241197	6	4	1	37	fake
gossipcop-1031800447	13.333333333333334	8.64	3.959731543624161	4.570436400267363	4.168580893621553	2.598087046996328	7.5	6.5	0	75	fake
gossipcop-1032468824	11.714285714285714	7.545454545454546	3.7450980392156863	2.9137254363387344	3.4341503213680182	1.5698524628429877	1.5	3.75	1	22	fake
gossipcop-1032664975	8.321428571428571	6.68	3.8762886597938144	4.058092192754861	3.2492460663975575	2.0597153839953894	4	3.25	0	100	fake
gossipcop-1036952493	14	8.655430711610487	4.208466453674121	5.411033106466757	5.071510950038476	2.909798124316188	7	6	1	1068	fake
gossipcop-1037841505	13	7.157894736842105	3.3125	3.4641016151377544	3.3444873400667903	0.8454843286542927	5	4.75	0	38	fake
gossipcop-1039751251	11.25	7.2	3.6785714285714284	2.384848003542364	2.749545416973504	1.1968282914368602	3.75	4	1	10	fake
gossipcop-1043854322	12.35483870967742	7.83453237410072	3.8325991189427313	4.8563120687893715	4.0741280963360484	2.1869041204968087	7.5	7	0	139	fake
gossipcop-1044110130	14.473684210526315	8.864864864864865	3.903030303030303	6.310963068157302	5.258175079047737	2.5255644251826945	9.5	6	0	111	fake
